forecast_made_at,target_ts,horizon_steps,median,p10,p90,actual
2025-11-30 21:00:00,2025-11-30 21:30:00,1,997.0644804450892,862.7387380128271,1127.505756882551,889.0
2025-11-30 21:00:00,2025-11-30 22:00:00,2,1076.6867784674878,863.3216620569001,1209.4519014477446,916.0
2025-11-30 21:00:00,2025-11-30 22:30:00,3,988.7685201213533,873.2677278912873,1129.241951565623,926.0
2025-11-30 21:00:00,2025-11-30 23:00:00,4,990.4581264017294,826.1492370474379,1261.3815764569788,975.0
2025-11-30 21:00:00,2025-11-30 23:30:00,5,1004.3000408568113,835.859742398553,1246.1658839238253,898.0
2025-11-30 21:00:00,2025-12-01 00:00:00,6,975.5611098290989,813.3065176883038,1238.8271387004263,901.0
2025-11-30 21:00:00,2025-12-01 00:30:00,7,865.3652628094031,735.5195974321732,1068.5600101496352,599.0
2025-11-30 21:00:00,2025-12-01 01:00:00,8,811.8662033547815,687.006915366315,1080.4761683461984,588.0
2025-11-30 21:00:00,2025-12-01 01:30:00,9,909.2852949489545,840.7282581797232,984.8484076798885,848.0
2025-11-30 21:00:00,2025-12-01 02:00:00,10,926.9415081270215,791.2450565067196,1106.905425610972,1038.0
2025-11-30 21:00:00,2025-12-01 02:30:00,11,912.192967718609,828.8661478813682,1223.2255310656371,968.0
2025-11-30 21:00:00,2025-12-01 03:00:00,12,911.4055682193144,872.5660195500261,1215.9695390723032,925.0
2025-11-30 21:00:00,2025-12-01 03:30:00,13,926.948813106228,874.32143927816,1218.4006979686346,1006.0
2025-11-30 21:00:00,2025-12-01 04:00:00,14,942.4920579931415,876.076859006294,1220.831856864966,996.0
2025-11-30 21:00:00,2025-12-01 04:30:00,15,947.9994135983229,842.5811041594177,1224.692225980929,956.0
2025-11-30 21:00:00,2025-12-01 05:00:00,16,953.5067692035044,809.0853493125414,1228.5525950968915,957.0
2025-11-30 21:00:00,2025-12-01 05:30:00,17,944.0367402416828,797.4712491744501,1163.1100782137896,954.0
2025-11-30 21:00:00,2025-12-01 06:00:00,18,934.5667112798611,785.8571490363588,1097.667561330688,845.0
2025-11-30 21:00:00,2025-12-01 06:30:00,19,951.73329508127,761.417143126512,1094.4995763482405,654.0
2025-11-30 21:00:00,2025-12-01 07:00:00,20,968.8998788826786,736.9771372166653,1091.331591365793,953.0
2025-11-30 21:00:00,2025-12-01 07:30:00,21,921.7926627008253,760.5902990212285,1075.6803356000955,925.0
2025-11-30 21:00:00,2025-12-01 08:00:00,22,874.6854465189721,784.2034608257917,1060.0290798343979,726.0
2025-11-30 21:00:00,2025-12-01 08:30:00,23,989.393127317966,806.6325100515774,1105.040350043978,941.0
2025-11-30 21:00:00,2025-12-01 09:00:00,24,1104.10080811696,829.061559277363,1150.0516202535578,1213.0
2025-11-30 21:00:00,2025-12-01 09:30:00,25,1118.344108895165,834.0035751423842,1175.162617953496,1098.0
2025-11-30 21:00:00,2025-12-01 10:00:00,26,1132.58740967337,838.9455910074055,1200.273615653434,1062.0
2025-11-30 21:00:00,2025-12-01 10:30:00,27,1146.830710451575,843.8876068724267,1225.384613353372,904.0
2025-11-30 21:00:00,2025-12-01 11:00:00,28,1161.07401122978,848.8296227374478,1250.4956110533103,824.0
2025-11-30 21:00:00,2025-12-01 11:30:00,29,1095.903386028551,832.8452290255325,1234.8410247207923,861.0
2025-11-30 21:00:00,2025-12-01 12:00:00,30,1030.7327608273222,816.860835313617,1219.1864383882744,874.0
2025-11-30 21:00:00,2025-12-01 12:30:00,31,965.5621356260931,800.8764416017016,1203.5318520557562,853.0
2025-11-30 21:00:00,2025-12-01 13:00:00,32,900.3915104248642,784.8920478897862,1187.8772657232382,795.0
2025-11-30 21:00:00,2025-12-01 13:30:00,33,969.2930606074144,818.6345481173308,1215.0926404581057,402.0
2025-11-30 21:00:00,2025-12-01 14:00:00,34,1038.1946107899646,852.3770483448754,1242.308015192973,463.0
2025-11-30 21:00:00,2025-12-01 14:30:00,35,1107.0961609725148,886.11954857242,1269.5233899278405,1001.0
2025-11-30 21:00:00,2025-12-01 15:00:00,36,1175.997711155065,919.8620487999646,1296.738764662708,1035.0
2025-11-30 21:00:00,2025-12-01 15:30:00,37,1203.4861826454642,941.6860518362195,1319.3283975058462,962.0
2025-11-30 21:00:00,2025-12-01 16:00:00,38,1230.9746541358631,963.5100548724744,1341.9180303489843,1181.0
2025-11-30 21:00:00,2025-12-01 16:30:00,39,1258.4631256262624,985.3340579087293,1364.5076631921224,1142.0
2025-11-30 21:00:00,2025-12-01 17:00:00,40,1285.9515971166616,1007.1580609449842,1387.0972960352606,1274.0
2025-11-30 21:00:00,2025-12-01 17:30:00,41,1285.524503990641,1020.2480243337766,1385.7990814233012,805.0
2025-11-30 21:00:00,2025-12-01 18:00:00,42,1285.0974108646205,1033.337987722569,1384.5008668113421,1348.0
2025-11-30 21:00:00,2025-12-01 18:30:00,43,1284.6703177386003,1046.4279511113614,1383.202652199383,1499.0
2025-11-30 21:00:00,2025-12-01 19:00:00,44,1284.2432246125798,1059.517914500154,1381.9044375874237,1432.0
2025-11-30 21:00:00,2025-12-01 19:30:00,45,1287.9984499407637,1058.4871743632084,1362.6464427161768,1486.0
2025-11-30 21:00:00,2025-12-01 20:00:00,46,1291.7536752689477,1057.4564342262631,1343.38844784493,1305.0
2025-11-30 21:00:00,2025-12-01 20:30:00,47,1295.5089005971317,1056.4256940893179,1324.1304529736833,1103.0
2025-11-30 21:00:00,2025-12-01 21:00:00,48,1299.2641259253157,1055.3949539523724,1304.8724581024364,1313.0
2025-11-30 21:30:00,2025-11-30 22:00:00,1,1025.4877618658077,864.6314000382451,1163.9735110377585,916.0
2025-11-30 21:30:00,2025-11-30 22:30:00,2,1080.5845843872157,937.451701451348,1188.649064832305,926.0
2025-11-30 21:30:00,2025-11-30 23:00:00,3,1001.5742731119752,858.481108783153,1131.0547497367243,975.0
2025-11-30 21:30:00,2025-11-30 23:30:00,4,1037.9372330478216,856.8561057852331,1237.112821804853,898.0
2025-11-30 21:30:00,2025-12-01 00:00:00,5,987.8009188003672,828.7022667915954,1221.8768717958724,901.0
2025-11-30 21:30:00,2025-12-01 00:30:00,6,879.0349759713589,695.5931348581115,1178.3078787856805,599.0
2025-11-30 21:30:00,2025-12-01 01:00:00,7,843.9335126777253,735.8690322326361,1024.5241787077703,588.0
2025-11-30 21:30:00,2025-12-01 01:30:00,8,876.8979029353345,722.8339986690493,1087.5913587199427,848.0
2025-11-30 21:30:00,2025-12-01 02:00:00,9,960.5382274393373,852.4737469942481,1068.6027078844265,1038.0
2025-11-30 21:30:00,2025-12-01 02:30:00,10,962.1012036146018,817.3770053369661,1124.1806438112467,968.0
2025-11-30 21:30:00,2025-12-01 03:00:00,11,914.1965969782473,806.1321165331581,1233.8748733829225,925.0
2025-11-30 21:30:00,2025-12-01 03:30:00,12,966.4485694882278,846.5774718521217,1217.4552688035458,1006.0
2025-11-30 21:30:00,2025-12-01 04:00:00,13,964.4213940860279,850.9607605329204,1231.223294359015,996.0
2025-11-30 21:30:00,2025-12-01 04:30:00,14,962.3942186838281,854.3297382387389,1244.9913199144842,956.0
2025-11-30 21:30:00,2025-12-01 05:00:00,15,942.5629988697767,826.1141422690271,1228.362460753705,957.0
2025-11-30 21:30:00,2025-12-01 05:30:00,16,922.7317790557254,796.884235324335,1211.7336015929254,954.0
2025-11-30 21:30:00,2025-12-01 06:00:00,17,889.3924833720338,736.7583600587213,1140.9129766608958,845.0
2025-11-30 21:30:00,2025-12-01 06:30:00,18,856.0531876883422,676.6324847931078,1070.0923517288663,654.0
2025-11-30 21:30:00,2025-12-01 07:00:00,19,903.110694331116,680.1192271083814,1089.7012981708745,953.0
2025-11-30 21:30:00,2025-12-01 07:30:00,20,950.1682009738897,683.605969423655,1109.3102446128826,925.0
2025-11-30 21:30:00,2025-12-01 08:00:00,21,937.7126119465051,702.5630050698264,1084.7779816262628,726.0
2025-11-30 21:30:00,2025-12-01 08:30:00,22,925.2570229191207,721.520040715998,1060.245718639643,941.0
2025-11-30 21:30:00,2025-12-01 09:00:00,23,1020.2065696109769,777.2061386877767,1145.7287787574105,1213.0
