start_time,end_time,kw_export,kw_import,kvar_export,kvar_import
2025-05-31 18:00:00,2025-05-31 18:30:00,0,575,0,237
2025-05-31 17:30:00,2025-05-31 18:00:00,0,566,0,226
2025-05-31 17:00:00,2025-05-31 17:30:00,0,717,0,287
2025-05-31 16:30:00,2025-05-31 17:00:00,0,785,0,320
2025-05-31 16:00:00,2025-05-31 16:30:00,0,590,0,240
2025-05-31 15:30:00,2025-05-31 16:00:00,0,637,0,248
2025-05-31 15:00:00,2025-05-31 15:30:00,0,679,0,266
2025-05-31 14:30:00,2025-05-31 15:00:00,0,713,0,272
2025-05-31 14:00:00,2025-05-31 14:30:00,0,753,0,303
2025-05-31 13:30:00,2025-05-31 14:00:00,0,614,0,244
2025-05-31 13:00:00,2025-05-31 13:30:00,0,686,0,277
2025-05-31 12:30:00,2025-05-31 13:00:00,0,711,0,282
2025-05-31 12:00:00,2025-05-31 12:30:00,0,719,0,274
2025-05-31 11:30:00,2025-05-31 12:00:00,0,738,0,301
2025-05-31 11:00:00,2025-05-31 11:30:00,0,639,0,261
2025-05-31 10:30:00,2025-05-31 11:00:00,0,741,0,304
2025-05-31 10:00:00,2025-05-31 10:30:00,0,702,0,279
2025-05-31 09:30:00,2025-05-31 10:00:00,0,787,0,305
2025-05-31 09:00:00,2025-05-31 09:30:00,0,892,0,357
2025-05-31 08:30:00,2025-05-31 09:00:00,0,914,0,364
2025-05-31 08:00:00,2025-05-31 08:30:00,0,825,0,351
2025-05-31 07:30:00,2025-05-31 08:00:00,0,802,0,326
2025-05-31 07:00:00,2025-05-31 07:30:00,0,853,0,327
2025-05-31 06:30:00,2025-05-31 07:00:00,0,920,0,385
2025-05-31 06:00:00,2025-05-31 06:30:00,0,800,0,345
2025-05-31 05:30:00,2025-05-31 06:00:00,0,686,0,278
2025-05-31 05:00:00,2025-05-31 05:30:00,0,703,0,295
2025-05-31 04:30:00,2025-05-31 05:00:00,0,677,0,278
2025-05-31 04:00:00,2025-05-31 04:30:00,0,677,0,287
2025-05-31 03:30:00,2025-05-31 04:00:00,0,702,0,300
2025-05-31 03:00:00,2025-05-31 03:30:00,0,681,0,270
2025-05-31 02:30:00,2025-05-31 03:00:00,0,662,0,267
2025-05-31 02:00:00,2025-05-31 02:30:00,0,546,0,231
2025-05-31 01:30:00,2025-05-31 02:00:00,0,551,0,229
2025-05-31 01:00:00,2025-05-31 01:30:00,0,570,0,229
2025-05-31 00:30:00,2025-05-31 01:00:00,0,669,0,248
2025-05-31 00:00:00,2025-05-31 00:30:00,0,859,0,347
