Meter Type,Main Meter,Main Meter,Main Meter,Main Meter
Date / End Time,kW Export,kW Import,kVAR Export,kVAR Import
2026-03-02 00:30:00,0,46.15834,3.4729,0.0
2026-03-02 01:00:00,0,44.3305,4.76314,0.0
2026-03-02 01:30:00,0,45.653,4.2793,0.0
2026-03-02 02:00:00,0,45.73902,4.23092,0.0
2026-03-02 02:30:00,0,44.61006,4.58036,0.0
2026-03-02 03:00:00,0,45.78202,3.88148,0.0
2026-03-02 03:30:00,0,46.08308,3.27936,0.0
2026-03-02 04:00:00,0,45.91104,3.2471,0.0
2026-03-02 04:30:00,0,46.49166,3.05356,0.0
2026-03-02 05:00:00,0,45.86804,3.37612,0.0
2026-03-02 05:30:00,0,46.02932,3.2471,0.0
2026-03-02 06:00:00,0,46.84646,2.688,0.01076
2026-03-02 06:30:00,0,45.49172,3.30086,0.0
2026-03-02 07:00:00,0,45.57774,3.4514,0.0
2026-03-02 07:30:00,0,44.44878,3.58042,0.0
2026-03-02 08:00:00,0,50.40538,2.78476,5.11258
2026-03-02 08:30:00,0,124.99202,0.0,56.35124
2026-03-02 09:00:00,0,127.44348,0.0,55.50184
2026-03-02 09:30:00,0,124.48668,0.0,53.30842
2026-03-02 10:00:00,0,126.71234,0.0,53.81376
2026-03-02 10:30:00,0,126.32526,0.0,52.71706
2026-03-02 11:00:00,0,131.3142,0.0,56.14696
2026-03-02 11:30:00,0,134.47528,0.0,59.50158
2026-03-02 12:00:00,0,128.6047,0.0,56.86734
2026-03-02 12:30:00,0,126.45428,0.0,57.08238
2026-03-02 13:00:00,0,124.25012,0.0,55.42656
2026-03-02 13:30:00,0,129.77666,0.0,57.95328
2026-03-02 14:00:00,0,135.5935,0.0,60.1682
2026-03-02 14:30:00,0,134.21186,0.0,59.3618
2026-03-02 15:00:00,0,132.43778,0.0,57.65222
2026-03-02 15:30:00,0,125.28232,0.0,52.36224
2026-03-02 16:00:00,0,136.88372,0.0,60.7488
2026-03-02 16:30:00,0,97.06906,0.0,39.63188
2026-03-02 17:00:00,0,66.75918,0.87092,14.09588
2026-03-02 17:30:00,0,43.54022,4.65562,0.0
2026-03-02 18:00:00,0,44.85734,4.02124,0.0
2026-03-02 18:30:00,0,44.22298,4.92442,0.0
2026-03-02 19:00:00,0,43.40584,5.46202,0.0
2026-03-02 19:30:00,0,43.8359,5.9566,0.0
2026-03-02 20:00:00,0,44.63156,5.78458,0.0
2026-03-02 20:30:00,0,45.8788,4.96742,0.0
2026-03-02 21:00:00,0,45.49172,4.51584,0.01076
2026-03-02 21:30:00,0,46.40564,4.13952,0.0
2026-03-02 22:00:00,0,46.49166,4.21478,0.0
2026-03-02 22:30:00,0,46.28736,4.11264,0.0
2026-03-02 23:00:00,0,45.1369,4.16102,0.0
2026-03-02 23:30:00,0,46.20136,3.75244,0.0
2026-03-03 00:00:00,0,46.53466,3.56966,0.0
2026-03-03 00:30:00,0,45.62074,3.29012,0.0
2026-03-03 01:00:00,0,46.17984,3.66644,0.0
2026-03-03 01:30:00,0,46.2336,3.60192,0.0
2026-03-03 02:00:00,0,45.37344,3.55892,0.0
2026-03-03 02:30:00,0,46.06158,2.9138,0.0
2026-03-03 03:00:00,0,46.80346,2.60736,0.0
2026-03-03 03:30:00,0,45.73902,2.688,0.0
2026-03-03 04:00:00,0,46.44864,2.69876,0.0
2026-03-03 04:30:00,0,46.88948,2.52672,0.0
2026-03-03 05:00:00,0,45.82504,3.1826,0.0
2026-03-03 05:30:00,0,46.76046,2.5536,0.01076
2026-03-03 06:00:00,0,47.17978,2.40844,0.0
2026-03-03 06:30:00,0,44.9111,3.5159,0.0
2026-03-03 07:00:00,0,52.0612,3.11808,0.52684
2026-03-03 07:30:00,0,65.40442,0.15052,2.18266
2026-03-03 08:00:00,0,84.98382,0.0215,8.8489
2026-03-03 08:30:00,0,189.1277,0.0,67.5602
2026-03-03 09:00:00,0,200.5034,0.0,69.0601
2026-03-03 09:30:00,0,194.2779,0.0,58.5124
2026-03-03 10:00:00,0,193.9446,0.0,57.40494
2026-03-03 10:30:00,0,215.298,0.0,68.28596
2026-03-03 11:00:00,0,218.4806,0.0,74.22106
2026-03-03 11:30:00,0,213.6852,0.0,72.31796
2026-03-03 12:00:00,0,214.2874,0.0,74.9307
2026-03-03 12:30:00,0,212.1908,0.0,73.77486
2026-03-03 13:00:00,0,145.19502,0.0,44.24448
2026-03-03 13:30:00,0,133.64738,0.0,40.85224
2026-03-03 14:00:00,0,129.65838,0.0,38.71258
2026-03-03 14:30:00,0,132.66894,0.0,37.76102
2026-03-03 15:00:00,0,159.83926,0.0,44.36276
2026-03-03 15:30:00,0,176.7414,0.0,53.76
2026-03-03 16:00:00,0,190.805,0.0,55.80288
2026-03-03 16:30:00,0,173.95664,0.0,48.68506
2026-03-03 17:00:00,0,178.14992,0.0,55.00724
2026-03-03 17:30:00,0,174.99958,0.0,52.373
2026-03-03 18:00:00,0,150.80758,0.0,47.0615
2026-03-03 18:30:00,0,134.0237,0.0,41.58874
2026-03-03 19:00:00,0,117.20756,0.0,38.89
2026-03-03 19:30:00,0,63.97442,0.07526,8.16076
2026-03-03 20:00:00,0,52.00744,2.21492,0.0
2026-03-03 20:30:00,0,45.1154,3.23636,0.01076
2026-03-03 21:00:00,0,44.05096,4.661,0.0
2026-03-03 21:30:00,0,43.31982,4.47284,0.0
2026-03-03 22:00:00,0,44.42726,3.84922,0.0
2026-03-03 22:30:00,0,44.39502,3.23636,0.0
2026-03-03 23:00:00,0,44.76058,3.1826,0.0
2026-03-03 23:30:00,0,43.88968,3.42988,0.0
2026-03-04 00:00:00,0,44.29824,5.32762,0.0
2026-03-04 00:30:00,0,43.7499,5.42976,0.0
2026-03-04 01:00:00,0,44.90036,5.23622,0.0
2026-03-04 01:30:00,0,43.7714,5.23622,0.0
2026-03-04 02:00:00,0,43.54022,5.23622,0.0
2026-03-04 02:30:00,0,45.02938,4.24704,0.0
2026-03-04 03:00:00,0,44.1047,4.15028,0.0
2026-03-04 03:30:00,0,44.5778,3.87072,0.0
2026-03-04 04:00:00,0,44.8251,3.88148,0.0
2026-03-04 04:30:00,0,44.3735,3.7202,0.0
2026-03-04 05:00:00,0,44.8466,3.2686,0.0
2026-03-04 05:30:00,0,44.96488,3.46214,0.0
2026-03-04 06:00:00,0,45.28742,3.09658,0.0
2026-03-04 06:30:00,0,43.85742,3.63418,0.0
2026-03-04 07:00:00,0,44.69606,3.97824,0.0
2026-03-04 07:30:00,0,42.50266,4.63412,0.0
2026-03-04 08:00:00,0,47.99694,3.64492,3.73094
2026-03-04 08:30:00,0,105.14382,0.0,35.27732
2026-03-04 09:00:00,0,107.33724,0.0,37.93306
2026-03-04 09:30:00,0,107.06842,0.0,38.01908
2026-03-04 10:00:00,0,108.22964,0.0,39.84692
2026-03-04 10:30:00,0,109.79944,0.0,38.89
2026-03-04 11:00:00,0,113.02504,0.0,38.56742
2026-03-04 11:30:00,0,112.08962,0.0,38.933
2026-03-04 12:00:00,0,117.47636,0.0,44.5348
2026-03-04 12:30:00,0,121.9062,0.0,48.55604
2026-03-04 13:00:00,0,120.72348,0.0,48.59904
2026-03-04 13:30:00,0,121.23958,0.0,47.68512
2026-03-04 14:00:00,0,121.4546,0.0,47.2443
2026-03-04 14:30:00,0,117.50862,0.0,44.12622
2026-03-04 15:00:00,0,120.88476,0.0,46.30886
2026-03-04 15:30:00,0,119.69128,0.0,45.82504
2026-03-04 16:00:00,0,119.63752,0.0,44.99712
2026-03-04 16:30:00,0,117.56238,0.0,44.52404
2026-03-04 17:00:00,0,118.36878,0.0,46.02932
2026-03-04 17:30:00,0,119.7558,0.0,47.45934
2026-03-04 18:00:00,0,118.50856,0.0,47.00774
2026-03-04 18:30:00,0,111.43374,0.0,40.59956
2026-03-04 19:00:00,0,106.77812,0.0,37.22342
2026-03-04 19:30:00,0,58.17908,0.13978,8.03174
2026-03-04 20:00:00,0,49.03988,2.7095,0.0
2026-03-04 20:30:00,0,45.01864,1.54828,0.01076
2026-03-04 21:00:00,0,44.8466,1.301,0.0215
2026-03-04 21:30:00,0,44.71758,1.53754,0.09676
2026-03-04 22:00:00,0,44.38426,3.55892,0.0
2026-03-04 22:30:00,0,43.34132,3.34388,0.0
2026-03-04 23:00:00,0,45.00788,2.47296,0.0
2026-03-04 23:30:00,0,45.06164,2.36544,0.0
2026-03-05 00:00:00,0,43.16928,4.32768,0.0
2026-03-05 00:30:00,0,43.70688,4.90292,0.0
2026-03-05 01:00:00,0,43.76064,4.37606,0.0
2026-03-05 01:30:00,0,44.45952,3.68794,0.0
2026-03-05 02:00:00,0,42.93274,4.23092,0.0
2026-03-05 02:30:00,0,43.93806,3.73094,0.0
2026-03-05 03:00:00,0,44.1047,3.52666,0.0
2026-03-05 03:30:00,0,43.69614,3.1826,0.0
2026-03-05 04:00:00,0,44.6208,2.90304,0.0
2026-03-05 04:30:00,0,43.42734,3.44064,0.0
2026-03-05 05:00:00,0,44.71758,2.731,0.0
2026-03-05 05:30:00,0,44.8681,2.67724,0.01076
2026-03-05 06:00:00,0,44.90036,2.65574,0.0
2026-03-05 06:30:00,0,44.73908,2.25792,0.0
2026-03-05 07:00:00,0,42.30912,3.2041,0.0
2026-03-05 07:30:00,0,43.86816,2.4622,0.0
2026-03-05 08:00:00,0,48.47002,1.62356,2.9138
2026-03-05 08:30:00,0,105.63842,0.0,41.56724
2026-03-05 09:00:00,0,115.2292,0.0,45.9648
2026-03-05 09:30:00,0,114.97116,0.0,45.80352
2026-03-05 10:00:00,0,116.885,0.0,46.17984
2026-03-05 10:30:00,0,116.33666,0.0,44.80358
2026-03-05 11:00:00,0,116.25064,0.0,44.5993
2026-03-05 11:30:00,0,116.18612,0.0,44.45952
2026-03-05 12:00:00,0,116.90652,0.0,44.58856
2026-03-05 12:30:00,0,115.71304,0.0,45.05088
2026-03-05 13:00:00,0,116.0786,0.0,44.73908
2026-03-05 13:30:00,0,117.22906,0.0,44.76058
2026-03-05 14:00:00,0,115.70228,0.0,42.35214
2026-03-05 14:30:00,0,114.22926,0.0,40.80384
2026-03-05 15:00:00,0,115.16468,0.0,42.35214
2026-03-05 15:30:00,0,107.73506,0.0,35.36334
2026-03-05 16:00:00,0,87.95138,0.0,25.8263
2026-03-05 16:30:00,0,51.53434,1.387,1.8386
2026-03-05 17:00:00,0,42.9865,3.94598,0.0
2026-03-05 17:30:00,0,42.28762,3.89222,0.0
2026-03-05 18:00:00,0,41.67476,3.65568,0.0
2026-03-05 18:30:00,0,42.16934,4.18252,0.0
2026-03-05 19:00:00,0,42.70158,4.47284,0.0
2026-03-05 19:30:00,0,42.57254,4.661,0.0
2026-03-05 20:00:00,0,42.83598,4.3223,0.0
2026-03-05 20:30:00,0,44.69606,3.87072,0.0
2026-03-05 21:00:00,0,44.5563,3.66644,0.0
2026-03-05 21:30:00,0,43.41658,3.52666,0.0
2026-03-05 22:00:00,0,44.66382,3.19334,0.0
2026-03-05 22:30:00,0,44.40576,3.07508,0.0
2026-03-05 23:00:00,0,43.7499,3.5374,0.0
2026-03-05 23:30:00,0,44.74984,3.39764,0.0
2026-03-06 00:00:00,0,44.16922,3.44064,0.0
2026-03-06 00:30:00,0,44.07246,2.84928,0.01076
2026-03-06 01:00:00,0,44.73908,2.22028,0.0
2026-03-06 01:30:00,0,43.68538,1.84934,0.0
2026-03-06 02:00:00,0,44.72832,1.72032,0.043
2026-03-06 02:30:00,0,43.45422,3.79546,0.0
2026-03-06 03:00:00,0,43.51872,3.59116,0.0
2026-03-06 03:30:00,0,45.30894,2.76326,0.0
2026-03-06 04:00:00,0,43.13702,3.11808,0.0
2026-03-06 04:30:00,0,44.85734,2.24716,0.01076
2026-03-06 05:00:00,0,44.48102,2.24716,0.0
2026-03-06 05:30:00,0,45.1154,2.18266,0.0
2026-03-06 06:00:00,0,44.9111,2.03212,0.0
2026-03-06 06:30:00,0,42.85748,3.62342,0.0
2026-03-06 07:00:00,0,51.46982,2.53748,1.23648
2026-03-06 07:30:00,0,65.30766,0.61286,1.32788
2026-03-06 08:00:00,0,82.4141,0.0,6.10714
2026-03-06 08:30:00,0,169.84936,0.0,52.9106
2026-03-06 09:00:00,0,190.1814,0.0,51.39456
