timestamp,kw_import,kw_export,kvar_import,kvar_export
2024-06-01 00:00:00,961.93402689844,0.0,355.0,0.0
2024-06-01 00:30:00,783.8899318588906,0.0,295.0,0.0
2024-06-01 01:00:00,832.6299598612027,0.0,317.0,0.0
2024-06-01 01:30:00,837.4832803970331,0.0,313.0,0.0
2024-06-01 02:00:00,671.4491244399157,0.0,273.0,0.0
2024-06-01 02:30:00,867.0321950678068,0.0,341.0,0.0
2024-06-01 03:00:00,717.9035478863506,0.0,286.0,0.0
2024-06-01 03:30:00,804.1189033565948,0.0,292.0,0.0
2024-06-01 04:00:00,828.2693289620731,0.0,282.0,0.0
2024-06-01 04:30:00,640.2025034655213,0.0,262.0,0.0
2024-06-01 05:00:00,706.075160021902,0.0,240.0,0.0
2024-06-01 05:30:00,827.7336143604872,0.0,312.0,0.0
2024-06-01 06:00:00,979.4869216502638,0.0,350.0,0.0
2024-06-01 06:30:00,678.7435563496055,0.0,244.0,0.0
2024-06-01 07:00:00,661.5433893788256,0.0,228.00000000000003,0.0
2024-06-01 07:30:00,629.755783965853,0.0,221.0,0.0
2024-06-01 08:00:00,770.826160129039,0.0,282.0,0.0
2024-06-01 08:30:00,800.5277483518498,0.0,268.0,0.0
2024-06-01 09:00:00,699.9736686371181,0.0,229.0,0.0
2024-06-01 09:30:00,703.2632307237582,0.0,234.0,0.0
2024-06-01 10:00:00,750.1235542948078,0.0,250.0,0.0
2024-06-01 10:30:00,722.8377469905089,0.0,240.0,0.0
2024-06-01 11:00:00,699.6677204806751,0.0,247.00000000000003,0.0
2024-06-01 11:30:00,681.0182623304846,0.0,248.0,0.0
2024-06-01 12:00:00,921.0160396670263,0.0,347.0,0.0
2024-06-01 12:30:00,840.8334537739289,0.0,299.0,0.0
2024-06-01 13:00:00,650.4902097139432,0.0,264.0,0.0
2024-06-01 13:30:00,715.5577552290797,0.0,263.0,0.0
2024-06-01 14:00:00,745.5529890418027,0.0,306.0,0.0
2024-06-01 14:30:00,984.5750657173315,0.0,375.0,0.0
2024-06-01 15:00:00,842.1481170784972,0.0,292.0,0.0
2024-06-01 15:30:00,680.2912177530671,0.0,270.0,0.0
2024-06-01 16:00:00,790.8399991321569,0.0,273.0,0.0
2024-06-01 16:30:00,946.2155461722577,0.0,311.0,0.0
2024-06-01 17:00:00,1068.9654444661599,0.0,371.0,0.0
2024-06-01 17:30:00,762.9192225231642,0.0,284.0,0.0
2024-06-01 18:00:00,751.0287910154082,0.0,268.0,0.0
2024-06-01 18:30:00,685.0553936715967,0.0,276.0,0.0
2024-06-01 19:00:00,880.5512339574699,0.0,359.0,0.0
2024-06-01 19:30:00,953.0255421243247,0.0,349.0,0.0
2024-06-01 20:00:00,755.2789547229814,0.0,264.0,0.0
2024-06-01 20:30:00,783.1930422656059,0.0,270.0,0.0
2024-06-01 21:00:00,710.5420747753782,0.0,258.0,0.0
2024-06-01 21:30:00,803.2932723679063,0.0,293.0,0.0
2024-06-01 22:00:00,974.6527255362232,0.0,363.0,0.0
2024-06-01 22:30:00,950.4743687774329,0.0,351.0,0.0
2024-06-01 23:00:00,741.9017603615312,0.0,272.0,0.0
2024-06-01 23:30:00,745.0008836887868,0.0,298.0,0.0
2024-06-02 00:00:00,826.9116454061704,0.0,336.0,0.0
2024-06-02 00:30:00,836.3231301239266,0.0,322.0,0.0
2024-06-02 01:00:00,651.7133440541057,0.0,269.0,0.0
2024-06-02 01:30:00,628.8040632353514,0.0,259.0,0.0
2024-06-02 02:00:00,633.0122876460115,0.0,256.0,0.0
2024-06-02 02:30:00,810.0210150606277,0.0,363.0,0.0
2024-06-02 03:00:00,764.450816556141,0.0,305.0,0.0
2024-06-02 03:30:00,713.7962792914777,0.0,287.0,0.0
2024-06-02 04:00:00,578.0889774220542,0.0,234.0,0.0
2024-06-02 04:30:00,623.3023744946585,0.0,239.0,0.0
2024-06-02 05:00:00,600.4379980624914,0.0,249.0,0.0
2024-06-02 05:30:00,717.6947521773677,0.0,302.0,0.0
2024-06-02 06:00:00,821.1144099485431,0.0,356.0,0.0
2024-06-02 06:30:00,667.027029626224,0.0,269.0,0.0
2024-06-02 07:00:00,590.5953215632943,0.0,234.0,0.0
2024-06-02 07:30:00,648.447961680507,0.0,269.0,0.0
2024-06-02 08:00:00,680.4247706806411,0.0,280.0,0.0
2024-06-02 08:30:00,828.008310812615,0.0,349.0,0.0
2024-06-02 09:00:00,778.9643131969726,0.0,292.0,0.0
2024-06-02 09:30:00,607.5161513194399,0.0,268.0,0.0
2024-06-02 10:00:00,634.1948315333166,0.0,257.0,0.0
2024-06-02 10:30:00,842.437115850069,0.0,350.0,0.0
2024-06-02 11:00:00,738.9987077805018,0.0,308.0,0.0
2024-06-02 11:30:00,658.760267569669,0.0,241.0,0.0
2024-06-02 12:00:00,586.186832165348,0.0,246.0,0.0
2024-06-02 12:30:00,629.5987585777497,0.0,227.0,0.0
